"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Created date","Usages","Fill rate","data_entry_instructions","option_descriptions"
"Create Date","createdate","datetime","The date that a contact entered the system","contactinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","Lists (39); Workflows (17); Reports (33); Views (39); Property cards (1)","100%","",""
"Current Stage","current_stage","enumeration","","contactinformation","true","Lead  (Lead); Consultation Scheduled; Consultation Cancelled; Consultation Done; Surgery Qualified; Non-Surgery Qualified; Surgery Done; Non-Surgery Done  (Non-Surgery Done); Surgery Booked; Non-Surgery Booked; Surgery Unqualified","false","false","false","false","false","false","Himanshu Gupta","9/12/23","Lists (2); Workflows (1); Views (9)","99.64%","",""
"Did you book a Hair Treatment or second consult?","did_you_book_a_hair_treatment_or_second_consult_","enumeration","","contactinformation","true","Yes  (Yes); No; Sort of","false","false","false","false","false","false","Himanshu Gupta","8/9/23","Forms (1)","1.84%","",""
"Do you want to speak to our surgeon?","do_you_want_to_speak_to_our_surgeon_","enumeration","","contactinformation","true","Yes; No","false","false","false","false","false","false","Madhur Gusain","9/25/24","Forms (1)","0.55%","",""
"Email","email","string","A contact's email address","contactinformation","true","","false","true","false","false","false","true","HubSpot","Not applicable","Forms (52); Lists (35); Chatflows (7); Workflows (61); Create record forms (1); Reports (1); Views (39); Property cards (1)","98.06%","",""
"Fax Number","fax","string","A contact's primary fax number","contactinformation","true","","false","true","false","false","false","true","HubSpot","Not applicable","","2.09%","",""
"First Name","firstname","string","A contact's first name","contactinformation","true","","false","true","false","false","false","true","HubSpot","Not applicable","Forms (40); Lists (1); Chatflows (2); Workflows (51); Create record forms (1); Emails (194); Reports (1); Views (4); Property cards (1)","97.26%","",""
"Have you undergone any hair treatments before?","have_you_undergone_any_hair_treatments_before","enumeration","","contactinformation","true","No; GFC; PRP; Exosome Therapy; Hair Transplant; Medications (Minoxidil/Finasteride); Other","false","false","false","false","false","false","Madhur Gusain","6/11/26","Forms (1)","0%","",""
"How did you hear about us","how_did_you_hear_about_us","string","","contactinformation","true","","false","false","false","false","false","false","Himanshu Gupta","7/20/23","Forms (5)","10.25%","",""
"How do you prefer your consultation?","how_do_you_prefer_your_consultation","enumeration","","contactinformation","true","OFFLINE; ONLINE","false","false","false","false","false","false","Madhur Gusain","6/11/26","Forms (1)","0%","",""
"HQL 2022 Campaign","hql_2022_campaign","string","","contactinformation","true","","false","false","false","false","false","false","Madhur Gusain","2/16/24","Workflows (2); Views (10)","11.69%","",""
"Chat Assistant IQL Date","hs_chat_assistant_iql_date","datetime","Date that an automated chat assistant IQL was triggered based on chat intent","contactinformation","false","","false","false","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Chat Assistant Source","hs_chat_assistant_source","enumeration","Which chat assistant the QL is being generated from","contactinformation","false","Customer Support (customer_support); Breeze (breeze)","false","false","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Chat Assistant:Summary","hs_chat_assistant_summary","string","AI-generated rich summary of a chat conversation when a customer expresses buying intent or requests to speak with Sales. Used to populate the Support Assistant QL card in the BDR prospecting workspace. This is populated by our HighIntentQlTool.","contactinformation","false","","false","false","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Enrichment opt out","hs_contact_enrichment_opt_out","bool","","contactinformation","false","Yes (true); No (false)","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Enrichment opt out timestamp","hs_contact_enrichment_opt_out_timestamp","datetime","Timestamp of when the contact opted out of being included in the HubSpot Enrichment database","contactinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Member email","hs_content_membership_email","string","Email used to send private content information to members","contactinformation","false","","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Email Confirmed","hs_content_membership_email_confirmed","bool","Email Confirmation status of user of Content Membership","contactinformation","false","True (true); False (false)","true","true","false","false","false","true","HubSpot","Not applicable","Views (4)","0%","",""
"Time enrolled in registration follow up emails","hs_content_membership_follow_up_enqueued_at","datetime","The time when the contact was first enrolled in the registration follow up email flow","contactinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Registered At","hs_content_membership_registered_at","datetime","Datetime at which this user was set up for Content Membership","contactinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Domain to which registration email was sent","hs_content_membership_registration_domain_sent_to","string","Domain to which the registration invitation email for Content Membership was sent to","contactinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
