"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Created date","Usages","Fill rate","data_entry_instructions","option_descriptions"
"Forecast probability","hs_forecast_probability","number","The custom percent probability a deal will close.","dealinformation","false","","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Is Deal Closed?","hs_is_closed","bool","True if the deal was won or lost.","dealinformation","false","True (true); False (false)","true","true","true","false","false","true","HubSpot","Not applicable","","100%","",""
"Is Closed (numeric)","hs_is_closed_count","number","This property is 1 if the deal is closed (""Closed Won"" or ""Closed Lost""), otherwise 0","dealinformation","false","","true","true","true","false","false","true","HubSpot","Not applicable","","100%","",""
"Is Open (numeric)","hs_is_open_count","number","This property is 1 if the deal is not closed won or closed lost, otherwise 0","dealinformation","false","","true","true","true","false","false","true","HubSpot","Not applicable","","100%","",""
"Forecast category","hs_manual_forecast_category","enumeration","The likelihood a deal will close. This property is used for manual forecasting your deals.","dealinformation","false","Not forecasted (OMIT) [READ-ONLY]; Pipeline (PIPELINE); Best case (BEST_CASE); Commit (COMMIT); Closed won (CLOSED) [READ-ONLY]","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Merged Deal IDs","hs_merged_object_ids","enumeration","The list of Deal record IDs that have been merged into this Deal. This value is set automatically by HubSpot.","dealinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0.32%","",""
"Next Meeting","hs_next_meeting_id","number","","dealinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Next Meeting Name","hs_next_meeting_name","string","","dealinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Next Meeting Start Time","hs_next_meeting_start_time","datetime","","dealinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Next step","hs_next_step","string","A short description of the next step for the deal","dealinformation","false","","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Next Activity","hs_notes_next_activity","object_coordinates","The coordinates of the next upcoming activity for a deal. This is set automatically by HubSpot based on user actions in the deal record.","dealinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Number of Associated Line Items","hs_num_of_associated_line_items","number","The number of line items associated with this deal","dealinformation","false","","true","true","true","false","false","true","HubSpot","Not applicable","","100%","",""
"Record ID","hs_object_id","number","The unique ID for this record. This value is set automatically by HubSpot.","dealinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","100%","",""
"Record source detail 1","hs_object_source_detail_1","string","First level of detail on how this record was created.","dealinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","58.01%","",""
"Record source detail 2","hs_object_source_detail_2","string","Second level of detail on how this record was created.","dealinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Record source detail 3","hs_object_source_detail_3","string","Third level of detail on how this record was created.","dealinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Record source","hs_object_source_label","enumeration","How this record was created.","dealinformation","false","","true","true","false","true","false","true","HubSpot","Not applicable","","100%","",""
"Priority","hs_priority","enumeration","The priority level of the deal","dealinformation","false","Low (low); Medium (medium); High (high)","false","true","false","false","false","true","HubSpot","Not applicable","","15.47%","",""
"Weighted amount","hs_projected_amount","number","Returns the multiplication of the amount times the probability of the deal closing.","dealinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","14.76%","",""
"Weighted amount in company currency","hs_projected_amount_in_home_currency","number","The deal’s amount in home currency multiplied by its probability of closing, which is determined based on the deal’s stage and the probability that was assigned to it in deal pipeline settings.","dealinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","14.76%","",""
"Deal Tags","hs_tag_ids","enumeration","List of tag ids applicable to a deal. This property is set automatically by HubSpot.","dealinformation","false","","true","true","false","true","false","true","HubSpot","Not applicable","","0%","",""
"Updated by user ID","hs_updated_by_user_id","number","The user who last updated this record. This value is set automatically by HubSpot.","dealinformation","false","","true","true","false","true","false","true","HubSpot","Not applicable","","39.39%","",""
"Deal owner","hubspot_owner_id","enumeration","User the deal is assigned to. Assign additional users to a deal record by creating a custom user property.","dealinformation","false","","false","true","false","true","false","true","HubSpot","Not applicable","Workflows (2); Reports (1)","99.9%","",""
"HubSpot Team","hubspot_team_id","enumeration","Primary team of the deal owner. This property is set automatically by HubSpot.","dealinformation","false","","true","true","false","true","false","true","HubSpot","Not applicable","","0%","",""
"Number of Associated Contacts","num_associated_contacts","number","The number of contacts associated with this deal. This property is set automatically by HubSpot.","dealinformation","false","","true","true","true","false","false","true","HubSpot","Not applicable","","100%","",""
"PRP","prp","enumeration","PRP","dealinformation","true","Yes (true); No (false)","false","false","false","false","false","false","Unknown user","7/25/22","","0%","",""
"Average Deal Owner Duration In Current Stage","hs_average_deal_owner_duration_in_current_stage","number","Time duration of the calculated average time of closed-won deals spent in current pipeline stage","dealscripted","false","","true","true","false","false","false","true","HubSpot","Not applicable","","33.9%","",""
"Is Stalled","hs_is_stalled","bool","True if Time in stage is 20% longer than the deal owner’s closed-won average time for that stage, false otherwise.","dealscripted","false","true; false","true","true","false","false","false","true","HubSpot","Not applicable","","33.97%","",""
"Is Stalled After Timestamp","hs_is_stalled_after_timestamp","datetime","Timestamp when Time in stage became 20% longer than the deal owner’s closed-won average for that stage.","dealscripted","false","","true","true","false","false","false","true","HubSpot","Not applicable","","33.9%","",""
"Cumulative time in ""Deposit Paid (Sales Pipeline)""","hs_v2_cumulative_time_in_10405412","number","The cumulative time in seconds spent by the deal in the 'Deposit Paid' stage, 'Sales Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","1.03%","",""
"Cumulative time in ""Post Operative Treatment (Sales Pipeline)""","hs_v2_cumulative_time_in_10405413","number","The cumulative time in seconds spent by the deal in the 'Post Operative Treatment' stage, 'Sales Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","2.12%","",""
"Cumulative time in ""Booked Non-Surgical (Sales Pipeline)""","hs_v2_cumulative_time_in_29399555","number","The cumulative time in seconds spent by the deal in the 'Booked Non-Surgical' stage, 'Sales Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","2.04%","",""
"Cumulative time in ""Surgery Qualified (Sales Pipeline)""","hs_v2_cumulative_time_in_52381041","number","The cumulative time in seconds spent by the deal in the 'Surgery Qualified' stage, 'Sales Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","7.79%","",""
"Cumulative time in ""Surgery Unqualified (Sales Pipeline)""","hs_v2_cumulative_time_in_52381042","number","The cumulative time in seconds spent by the deal in the 'Surgery Unqualified' stage, 'Sales Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0.73%","",""
"Cumulative time in ""Contacted (Sales Pipeline)""","hs_v2_cumulative_time_in_appointmentscheduled","number","The cumulative time in seconds spent by the deal in the 'Contacted' stage, 'Sales Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","75.45%","",""
"Cumulative time in ""Lost (Sales Pipeline)""","hs_v2_cumulative_time_in_closedlost","number","The cumulative time in seconds spent by the deal in the 'Lost' stage, 'Sales Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","15.35%","",""
"Cumulative time in ""Completed Session (Sales Pipeline)""","hs_v2_cumulative_time_in_contractsent","number","The cumulative time in seconds spent by the deal in the 'Completed Session' stage, 'Sales Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","1.17%","",""
