currentPath,proposedDomain,proposedPath,runtimeConsumerCount,testConsumerCount,tablesReferenced,serverOnly,mutationBearing,duplicateOf,deletionReason,migrationRisk,proposeReason
src/lib/team/onboarding/onboardingActionFlags.ts,onboarding,src/lib/team/onboarding/onboardingActionFlags.ts,0,0,,false,false,,,high,canonical team/onboarding module
src/lib/team/onboarding/onboardingAttentionReasons.ts,onboarding,src/lib/team/onboarding/onboardingAttentionReasons.ts,1,0,,false,false,,,high,canonical team/onboarding module
src/lib/team/onboarding/projectStaffOnboardingEntry.bridge.test.ts,onboarding,src/lib/team/onboarding/projectStaffOnboardingEntry.bridge.test.ts,0,0,,false,false,,,high,canonical team/onboarding module
src/lib/team/onboarding/projectStaffOnboardingEntry.test.ts,onboarding,src/lib/team/onboarding/projectStaffOnboardingEntry.test.ts,0,0,,false,false,,,low,canonical team/onboarding module
src/lib/team/onboarding/projectStaffOnboardingEntry.ts,onboarding,src/lib/team/onboarding/projectStaffOnboardingEntry.ts,0,0,,false,false,,,high,canonical team/onboarding module
src/lib/team/onboarding/toOnboardingCentreRow.ts,onboarding,src/lib/team/onboarding/toOnboardingCentreRow.ts,0,0,,false,false,,,low,canonical team/onboarding module
src/lib/team/onboarding/types.ts,onboarding,src/lib/team/onboarding/types.ts,8,0,,false,false,,,high,canonical team/onboarding module
src/lib/team/payroll/index.ts,payroll,src/lib/team/payroll/index.ts,0,0,,false,false,,,high,canonical team/payroll module
src/lib/team/payroll/loadPayrollStaffContext.server.ts,payroll,src/lib/team/payroll/loadPayrollStaffContext.server.ts,0,0,,true,false,,,high,canonical team/payroll module
src/lib/team/payroll/payrollActionFlags.ts,payroll,src/lib/team/payroll/payrollActionFlags.ts,2,0,,false,false,,,high,canonical team/payroll module
src/lib/team/payroll/payrollAuditIdentity.ts,payroll,src/lib/team/payroll/payrollAuditIdentity.ts,0,0,,false,false,,,high,canonical team/payroll module
src/lib/team/payroll/payrollIdentityAttentionReasons.ts,payroll,src/lib/team/payroll/payrollIdentityAttentionReasons.ts,2,0,,false,false,,,high,canonical team/payroll module
src/lib/team/payroll/payrollIdentityMutationGate.server.ts,payroll,src/lib/team/payroll/payrollIdentityMutationGate.server.ts,0,1,,true,false,,,high,canonical team/payroll module
src/lib/team/payroll/projectPayrollStaffEntry.test.ts,payroll,src/lib/team/payroll/projectPayrollStaffEntry.test.ts,0,0,,false,false,,,high,canonical team/payroll module
src/lib/team/payroll/projectPayrollStaffEntry.ts,payroll,src/lib/team/payroll/projectPayrollStaffEntry.ts,1,0,,false,false,,,high,canonical team/payroll module
src/lib/team/payroll/server.ts,payroll,src/lib/team/payroll/server.ts,1,0,,true,false,,,high,canonical team/payroll module
src/lib/team/payroll/types.ts,payroll,src/lib/team/payroll/types.ts,4,0,,false,false,,,high,canonical team/payroll module
src/lib/team/planning/index.ts,planning,src/lib/team/planning/index.ts,0,0,,false,false,,,low,canonical team/planning module
